Id,Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
413,2.065,3,-14,1005,-840,-2660,420
414,2.07,2,-13,1005,-840,-2590,420
415,2.075,2,-13,1004,-840,-2730,420
416,2.08,3,-13,1004,-910,-2660,420
417,2.085,3,-12,1006,-910,-2730,350
418,2.09,2,-14,1005,-840,-2590,350
419,2.095,2,-14,1005,-840,-2660,420
420,2.1,2,-14,1004,-840,-2660,420
421,2.105,3,-13,1005,-910,-2660,420
422,2.11,3,-14,1005,-910,-2590,420
423,2.115,2,-13,1005,-840,-2660,350
424,2.12,2,-14,1006,-840,-2660,420
425,2.125,2,-14,1006,-840,-2660,420
426,2.13,3,-13,1005,-910,-2660,420
427,2.135,4,-13,1005,-910,-2660,420
428,2.14,3,-13,1004,-910,-2730,420
429,2.145,3,-12,1005,-840,-2730,420
430,2.15,3,-14,1005,-840,-2660,420
431,2.155,3,-13,1005,-840,-2660,420
432,2.16,3,-13,1005,-840,-2660,420
433,2.165,3,-13,1004,-840,-2660,420
434,2.17,3,-13,1005,-910,-2590,420
435,2.175,3,-13,1005,-840,-2590,420
436,2.18,3,-13,1005,-840,-2660,420
437,2.185,3,-13,1005,-910,-2590,420
438,2.19,2,-14,1005,-840,-2660,420
439,2.195,2,-14,1005,-840,-2660,350
440,2.2,2,-14,1005,-840,-2660,350
441,2.205,3,-13,1005,-910,-2660,350
442,2.21,3,-13,1005,-840,-2660,420
443,2.215,3,-13,1004,-840,-2660,420
444,2.22,2,-13,1005,-840,-2660,420
445,2.225,3,-13,1005,-840,-2660,420
446,2.23,3,-13,1005,-910,-2660,420
447,2.235,2,-13,1005,-840,-2660,420
448,2.24,3,-13,1005,-910,-2660,420
449,2.245,3,-14,1005,-840,-2660,420
450,2.25,3,-14,1005,-840,-2660,420
451,2.255,4,-13,1005,-910,-2730,350
452,2.26,3,-12,1005,-840,-2660,420
453,2.265,3,-13,1005,-840,-2660,420
454,2.27,2,-13,1004,-910,-2660,350
455,2.275,3,-14,1004,-910,-2660,350
456,2.28,2,-14,1005,-840,-2590,350
457,2.285,3,-13,1005,-910,-2660,350
458,2.29,3,-12,1004,-910,-2660,350
459,2.295,4,-13,1005,-840,-2660,350
460,2.3,3,-13,1005,-910,-2660,420
461,2.305,3,-13,1005,-840,-2660,350
462,2.31,3,-13,1004,-840,-2660,350
463,2.315,2,-13,1006,-840,-2660,420
464,2.32,4,-13,1005,-840,-2590,350
465,2.325,3,-14,1006,-840,-2730,350
466,2.33,3,-14,1005,-910,-2660,350
467,2.335,4,-14,1005,-910,-2660,420
468,2.34,3,-12,1004,-840,-2660,350
469,2.345,4,-13,1005,-840,-2660,420
470,2.35,3,-13,1005,-910,-2730,350
471,2.355,2,-13,1005,-910,-2660,350
472,2.36,2,-13,1005,-840,-2660,350
473,2.365,3,-14,1004,-840,-2660,350
474,2.37,3,-13,1004,-910,-2730,420
475,2.375,3,-12,1005,-840,-2660,350
476,2.38,3,-12,1005,-840,-2660,350
477,2.385,3,-14,1005,-840,-2660,420
478,2.39,2,-13,1005,-910,-2590,350
479,2.395,3,-14,1005,-910,-2660,420
480,2.4,3,-13,1004,-910,-2660,350
481,2.405,-13,-9,1044,-1610,-6370,350
482,2.41,-6,11,1009,-1400,-5180,-140
483,2.415,19,48,1023,-770,-2870,3220
484,2.42,34,60,993,-630,-2800,6930
485,2.425,21,58,988,-210,-350,8050
486,2.43,-78,-108,995,420,1610,16100
487,2.435,-17,-302,1008,770,3360,4830
488,2.44,-1,-12,983,2450,8330,-700
489,2.445,8,-8,1012,4270,18060,770
490,2.45,-95,-39,989,-910,27090,2100
491,2.455,-113,-61,997,-1190,33110,-12180
492,2.46,-84,23,983,-1190,43610,-18900
493,2.465,58,74,975,-1190,54110,-8400
494,2.47,-48,52,1036,-2170,76020,-560
495,2.475,-127,-3,1308,-7350,49140,2170
496,2.48,-92,-99,1217,-4690,21140,2170
497,2.485,-58,-112,1131,-6650,9310,-1400
498,2.49,-22,-68,1181,-11200,6090,-14840
499,2.495,-61,104,1200,-14490,-1610,-15330
500,2.5,-117,157,1101,-11900,-10500,-5250
501,2.505,-152,60,977,17640,-2310,4060
502,2.51,-207,-67,828,35490,18130,6930
503,2.515,-132,-316,1156,37380,42000,-280
504,2.52,-6,-200,1084,26810,38290,-9100
505,2.525,-53,-94,1223,9940,37450,-12880
506,2.53,-187,3,999,-18690,22890,-16660
507,2.535,-218,20,1002,-7280,23240,-9660
508,2.54,-301,-162,970,-34580,-3850,7420
509,2.545,-109,-221,583,-75670,-11970,5250
510,2.55,-169,-236,901,-8960,61110,-11270
511,2.555,-214,-98,964,24920,72030,-28280
512,2.56,-245,140,1192,66640,66290,-19950
513,2.565,-247,0,1055,41580,47740,-10290
514,2.57,-401,45,592,10150,69020,-4270
